English Title,Native Title,Year,Country,Rating_mdl,Number of Raters_mdl,Rating_douban,Number of Raters_douban,ID,URL
Being a Hero,冰雨火,2022,China,8.0,757,6.9,202001,34908108,https://mydramalist.com/53543-being-a-hero
The Destiny of White Snake,天乩之白蛇传说,2018,China,7.9,2066,6.2,86092,26956031,https://mydramalist.com/22500-the-destiny-of-white-snake
A Romance of the Little Forest,两个人的小森林,2022,China,8.0,5409,6.2,73376,35431984,https://mydramalist.com/696659-two-people-s-little-forest
Once Upon a Time in Lingjian Mountain,从前有座灵剑山,2019,China,8.2,3629,7.0,89446,26877434,https://mydramalist.com/33252-once-upon-a-time-there-was-a-spirit-blade-mountain
Legend of Yun Xi,芸汐传,2018,China,8.1,8033,6.0,90137,26897025,https://mydramalist.com/23956-legend-of-yun-xi
Never Say Goodbye,不说再见,2021,China,7.9,779,3.9,70276,30284901,https://mydramalist.com/30302-never-say-goodbye
Eagles and Youngster,天坑鹰猎,2018,China,8.1,593,7.4,128022,27119802,https://mydramalist.com/28725-eagles-and-youngster
The Legend of Anle,安乐传,2023,China,7.7,3354,5.7,113087,35248734,https://mydramalist.com/79871-legend-of-anle
Novoland: Pearl Eclipse,斛珠夫人,2021,China,8.3,4064,4.8,126248,26798457,https://mydramalist.com/31998-novoland-pearl-eclipse
The Flame's Daughter,烈火如歌,2018,China,7.8,3926,5.9,92848,26703476,https://mydramalist.com/21920-liehuo-ruge
The Palace: The Lock Heart Jade,宫,2011,China,7.7,1654,6.5,129252,4917905,https://mydramalist.com/1480-palace-the-lock-heart-jade
Moonshine and Valentine,结爱·千岁大人的初恋,2018,China,7.7,7373,7.0,97157,27107131,https://mydramalist.com/25154-the-first-love-of-the-man-who-was-thousand-years-old
My True Friend,我的真朋友,2019,China,7.5,1338,4.3,75861,30208013,https://mydramalist.com/28943-my-true-friend
Rebirth for You,嘉南传,2021,China,7.8,3148,3.9,78284,32486616,https://mydramalist.com/39691-mu-nan-zhi
Our Secret,暗格里的秘密,2021,China,8.5,11477,6.8,80683,35087772,https://mydramalist.com/76433-secrets-in-the-lattice
Sweet Dreams,一千零一夜,2018,China,7.7,6166,5.3,115136,27088995,https://mydramalist.com/25025-sweet-dreams
Only for Love,以爱为营,2023,China,7.9,8648,4.3,113802,35444999,https://mydramalist.com/697877-cuo-liao
Super Star Academy,超星星学园,2016,China,7.2,2413,4.7,102349,26765418,https://mydramalist.com/19856-super-star-academy
Ming Dynasty,大明风华,2019,China,7.7,756,6.0,75859,27094895,https://mydramalist.com/26515-empress-of-the-ming-legend-of-sun-ruowei
Legend of Mi Yue,芈月传,2015,China,8.1,889,6.1,118344,21766654,https://mydramalist.com/11122-legend-of-miyue
"Go Princess, Go!",太子妃升职记,2015,China,7.7,2918,7.2,159810,26657015,https://mydramalist.com/16159-go-princess-go
My Sassy Princess,祝卿好,2022,China,8.0,3544,6.7,76976,35332993,https://mydramalist.com/686379-zhu-qing-hao
The King’s Avatar,全职高手,2019,China,8.5,12752,7.3,157852,26660368,https://mydramalist.com/24018-the-kings-avatar
The Great Ruler,北灵少年志之大主宰,2020,China,7.7,956,5.0,98089,26939233,https://mydramalist.com/28560-the-great-ruler
The Romance of the Condor Heroes,神雕侠侣,2014,China,7.9,1083,7.8,102074,2375707,https://mydramalist.com/8032-the-romance-of-the-condor-heroes
Tribes and Empires: Storm of Prophecy,九州·海上牧云记,2017,China,7.8,1016,6.8,80412,26322999,https://mydramalist.com/17023-tribes-and-empires-storm-of-prophecy
Legend of Fu Yao,扶摇,2018,China,8.3,9377,4.7,112291,26640097,https://mydramalist.com/23171-legend-of-fu-yao
Rush to the Dead Summer,夏至未至,2017,China,7.3,1673,4.6,76956,26734684,https://mydramalist.com/20178-rush-to-the-dead-summer
I Am Nobody,异人之下,2023,China,8.7,2477,8.1,106541,26853822,https://mydramalist.com/66507-the-outcast
Moonlight,月光变奏曲,2021,China,8.3,8119,7.0,122345,35058573,https://mydramalist.com/66455-moonlight
Thousand Years for You,请君,2022,China,7.8,1412,6.0,67531,35539518,https://mydramalist.com/706617-qing-jun-ci-jiao
The Blood of Youth,少年歌行,2022,China,8.9,4998,8.3,130769,35284451,https://mydramalist.com/683119-shao-nian-ge-xing
Too Late to Say I Love You,来不及说我爱你,2010,China,7.6,659,8.4,65188,4135704,https://mydramalist.com/4738-too-late-to-say-i-love-you
Love Is Sweet,半是蜜糖半是伤,2020,China,8.5,19256,6.7,123765,34857296,https://mydramalist.com/49871-love-is-sweet
Our Glamorous Time,你和我的倾城时光,2018,China,7.9,3565,5.5,68062,26386688,https://mydramalist.com/24203-our-glamorous-times
And the Winner Is Love,月上重火,2020,China,7.6,2414,5.5,68490,30304036,https://mydramalist.com/36267-and-the-winner-is-love
The Legend of the Condor Heroes,射雕英雄传,2017,China,8.1,1432,8.0,99237,26663086,https://mydramalist.com/19556-the-legend-of-the-condor-heroes
S.C.I,S.C.I.谜案集,2018,China,8.3,2692,7.1,60790,26816381,https://mydramalist.com/29548-s-c-i
Couple of Mirrors,双镜,2021,China,8.3,1770,6.8,62594,35131309,https://mydramalist.com/62355-couple-of-mirrors
My Bratty Princess,刁蛮公主,2005,China,8.0,875,7.1,64044,2327494,https://mydramalist.com/1481-my-bratty-princess
Chef Fang,花间提壶方大厨,2017,China,8.1,928,7.9,62867,26868416,https://mydramalist.com/23514-hua-jian-ti-hu-fang-da-chu
My Dear Guardian,爱上特种兵,2021,China,7.9,4124,4.3,62846,34908097,https://mydramalist.com/53547-dear-military-uniform
Unchained Love,浮图缘,2022,China,8.0,3006,6.5,131030,35459225,https://mydramalist.com/699391-fu-tu-tower
Byakuyako,白夜行,2006,Japan,8.0,1047,8.4,85156,2031438,https://mydramalist.com/621-byakuyako
The Blooms at Ruyi Pavilion,如意芳霏,2020,China,8.1,5932,4.7,50411,30291376,https://mydramalist.com/38587-the-way-of-favours
Broker,心跳源计划,2021,China,7.3,1239,4.0,52827,27067978,https://mydramalist.com/32006-broker
Dance of the Phoenix,且听凤鸣,2020,China,7.6,4135,6.1,50382,34446726,https://mydramalist.com/50097-shen-yi-feng-hou
My Mowgli Boy,我的莫格利男孩,2019,China,7.4,1666,5.6,52034,30291091,https://mydramalist.com/30902-my-mowgli-boy
Falling Before Fireworks,最食人间烟火色,2023,China,8.1,1623,7.5,58414,35391031,https://mydramalist.com/716895-zui-shi-ren-jian-yan-huo-se
The Love You Give Me,你给我的喜欢,2023,China,8.5,12227,7.2,54318,35732451,https://mydramalist.com/723145-the-love-you-give-me
Rising With the Wind,我要逆风去,2023,China,8.0,1317,7.3,50009,27124548,https://mydramalist.com/63985-i-want-to-go-against-the-wind
Mirror: A Tale of Twin Cities,镜·双城,2022,China,7.5,1571,3.6,56446,26918817,https://mydramalist.com/33697-mirror-twin-cities
Sword and Fairy 4,仙剑四,2024,China,8.1,1221,4.3,58861,26862252,https://mydramalist.com/54779-chinese-paladin-4
Meteor Garden,流星花园,2018,China,7.9,42635,3.5,55626,26974779,https://mydramalist.com/23184-meteor-garden
Black & White,痞子英雄,2009,Taiwan,8.0,1850,8.1,55825,3543956,https://mydramalist.com/369-black-white
A Female Student Arrives at the Imperial College,国子监来了个女弟子,2021,China,8.0,5476,3.9,57120,35131244,https://mydramalist.com/63349-here-comes-a-female-student-at-guo-zijian
New My Fair Princess,新还珠格格,2011,China,7.6,503,5.2,46078,4935039,https://mydramalist.com/3026-new-my-fair-princess
Ever Night Season 2,将夜2,2020,China,7.7,1833,5.4,44218,30417132,https://mydramalist.com/32728-ever-night-season-2
Here We Meet Again,三分野,2023,China,8.3,6560,6.6,42824,35480792,https://mydramalist.com/78337-san-fen-ye
Heroes,说英雄谁是英雄,2022,China,7.9,1545,6.3,44403,35192154,https://mydramalist.com/67855-say-hero-who-is-hero
The Promise of Chang’an,长安诺,2020,China,7.6,908,5.5,45904,30318029,https://mydramalist.com/33039-the-promise-of-chang-an
Scent of Time,为有暗香来,2023,China,8.3,2321,6.1,49985,35522243,https://mydramalist.com/705969-xi-qian-hua
Faithful,九义人,2023,China,8.1,555,7.9,43903,35623511,https://mydramalist.com/739821-the-nine
Falling Into You,炽道,2022,China,8.5,3490,7.4,46109,35525100,https://mydramalist.com/686115-chi-dao
Hot Girl,麻辣变形计,2016,China,7.7,1615,7.4,45436,26585909,https://mydramalist.com/17245-hot-girl
Lie to Love,良言写意,2021,China,7.8,3670,4.5,42321,26901433,https://mydramalist.com/65701-lie-to-love
Rookie Agent Rouge,胭脂,2016,China,8.1,1427,5.9,40648,26358699,https://mydramalist.com/15340-rookie-agent-rouge
Alliance,好事成双,2023,China,8.2,739,6.1,47269,35490184,https://mydramalist.com/702939-shuang-xi
Love Better Than Immortality,天雷一部之春花秋月,2019,China,8.0,6038,6.2,45778,30258233,https://mydramalist.com/31318-spring-flower-autumn-moon
The Legend of White Snake,新白娘子传奇,2019,China,7.6,3136,4.4,48712,26657834,https://mydramalist.com/28057-legend-of-white-snake
Sword and Fairy,祈今朝,2024,China,7.7,1391,5.0,43829,35597502,https://mydramalist.com/711225-qi-zinzhao
The Journey of Chong Zi,重紫,2023,China,7.2,1793,4.4,48390,35432425,https://mydramalist.com/62529-chong-zi
In a Class of Her Own,漂亮书生,2020,China,8.1,4499,4.9,48211,30463452,https://mydramalist.com/34415-in-a-class-of-her-own
The Love Equations,致我们甜甜的小美满,2020,China,8.1,8585,6.1,40392,30463518,https://mydramalist.com/36445-the-sweet-love-story
Go Go Squid 2: Dt. Appledog's Time,我的时代，你的时代,2021,China,8.1,5801,5.7,46644,34948200,https://mydramalist.com/58373-my-dear
Storm Eye,暴风眼,2021,China,7.8,932,5.5,62940,30476726,https://mydramalist.com/33612-storm-eye
Fake It Till You Make It,装腔启示录,2023,China,8.4,2725,8.1,139124,35587662,https://mydramalist.com/713793-fake-it-till-you-make-it
Tomb of the Sea,沙海,2018,China,8.3,1770,6.4,129131,26785790,https://mydramalist.com/29686-sand-sea
South Wind Knows,南风知我意,2023,China,7.6,1516,5.7,85384,30482094,https://mydramalist.com/54337-nan-feng-zhi-wo-yi
Crush,原来我很爱你,2021,China,8.4,12740,7.0,73499,35075590,https://mydramalist.com/63989-crush
Derailment,脱轨,2023,China,7.8,2679,6.7,63800,36016469,https://mydramalist.com/737525-derailment
Who Is the Murderer,谁是凶手,2021,China,7.7,535,6.2,216497,35180907,https://mydramalist.com/66969-light-on-series-who-is-the-murderer
Sunshine by My Side,骄阳伴我,2023,China,8.0,1688,7.2,156050,35132922,https://mydramalist.com/732835-sunshine-with-me
When I Fly Towards You,当我飞奔向你,2023,China,9.0,18844,7.9,113899,35172742,https://mydramalist.com/62295-luo-yao-knew-what-he-meant
Story of Kunning Palace,宁安如梦,2023,China,8.8,6912,6.8,128055,35465016,https://mydramalist.com/719227-ning-an-ru-meng
Miss Crow with Mr. Lizard,乌鸦小姐与蜥蜴先生,2021,China,8.2,7393,5.5,70229,35005204,https://mydramalist.com/58697-miss-crow-with-mr-lizard
Back From the Brink,护心,2023,China,8.5,7234,7.2,101785,35248698,https://mydramalist.com/79467-hu-xin
Nirvana in Fire,琅琊榜,2015,China,9.1,9649,9.4,826764,25754848,https://mydramalist.com/9025-nirvana-in-fire
Beauty of Resilience,花戎,2023,China,7.4,2379,5.1,62819,35390378,https://mydramalist.com/695281-hua-rong
Shining for One Thing,一闪一闪亮星星,2022,China,8.6,3280,6.8,186950,35087769,https://mydramalist.com/67269-the-moment-of-meeting-again
Destined,长风渡,2023,China,8.5,4203,6.5,163102,35087777,https://mydramalist.com/72599-chang-feng-du
Lighter & Princess,点燃我，温暖你,2022,China,8.6,12683,7.5,209277,35196753,https://mydramalist.com/68429-the-lighter-and-the-princess-gown
Twilight,暮色心约,2023,China,7.3,580,5.3,39218,35370771,https://mydramalist.com/698005-twilight
Fall in Love,一见倾心,2021,China,8.4,5560,4.7,34448,34935188,https://mydramalist.com/53549-fall-in-love
Please Feel at Ease Mr. Ling,一不小心捡到爱,2021,China,8.0,11895,4.3,25721,35082299,https://mydramalist.com/61887-please-feel-at-ease-mr-ling
Lost Track of Time,覆流年,2022,China,7.8,1293,6.4,27596,35605165,https://mydramalist.com/711585-fu-liu-nian
Seven of Me,柒个我,2017,China,7.9,696,5.7,33637,26584874,https://mydramalist.com/21802-seven-of-me
Love in Between,少年游之一寸相思,2020,China,7.9,1218,7.9,91634,30426829,https://mydramalist.com/31267-an-inch-of-yearning
Wonderland of Love,乐游原,2023,China,8.5,3698,6.7,33067,35725349,https://mydramalist.com/717585-le-you-yuan
The Brightest Star in the Sky,夜空中最闪亮的星,2019,China,8.2,10073,6.4,29846,27006213,https://mydramalist.com/24058-the-brightest-star-in-the-sky
The Legend of Xiao Chuo,燕云台,2020,China,7.8,1362,4.4,34005,30463519,https://mydramalist.com/34637-the-legend-of-xiao-chuo
Love Under the Full Moon,满月之下请相爱,2021,China,7.9,2587,4.4,39385,35234634,https://mydramalist.com/76781-love-under-the-full-moon
Lavender,薰衣草,2001,Taiwan,7.4,679,6.9,36632,2270536,https://mydramalist.com/812-lavender-2001
The Fox's Summer,狐狸的夏天,2017,China,7.9,6892,6.5,28667,26811778,https://mydramalist.com/21658-the-foxs-summer
Lucky's First Love,世界欠我一个初恋,2019,China,8.1,11559,6.7,32094,30299032,https://mydramalist.com/31239-the-world-owes-me-a-first-love
My Little Happiness,我的小确幸,2021,China,8.5,16986,6.5,36397,34880305,https://mydramalist.com/54335-my-small-indeed-fortunate
The Sleepless Princess,离人心上,2020,China,8.0,4207,6.5,28795,34995666,https://mydramalist.com/58693-the-sleepless-princess
Checkmate,民国大侦探,2022,China,7.7,642,6.2,27275,35559680,https://mydramalist.com/710935-min-guo-da-zhen-tan
Warm on a Cold Night,九霄寒夜暖,2023,China,8.2,2431,6.9,26081,35390439,https://mydramalist.com/77441-jiu-xiao-han-ye-nuan
Provoke,招惹,2023,China,7.9,2309,6.9,28119,36328436,https://mydramalist.com/739937-the-captive
The Sleuth of Ming Dynasty,成化十四年,2020,China,8.5,2682,5.7,26648,30361963,https://mydramalist.com/33272-the-story-of-ming-dynasty
A Little Thing Called First Love,初恋那件小事,2019,China,8.2,14273,6.2,36301,26877087,https://mydramalist.com/33645-a-little-thing-called-first-love
Court Lady,骊歌行,2021,China,8.0,2221,4.9,39520,30400625,https://mydramalist.com/33630-the-glorious-tang-stratagem
Love in Flames of War,良辰好景知几何,2022,China,7.6,1233,4.9,30318,27020660,https://mydramalist.com/54939-love-in-flames-of-war
Dance of the Sky Empire,天舞纪,2020,China,8.1,3759,5.5,25745,26926450,https://mydramalist.com/49159-dance-of-the-sky
River Flows to You,流淌的美好时光,2019,China,7.4,656,3.7,26507,27031380,https://mydramalist.com/24313-cry-me-a-sad-river
See You Tomorrow,明天也想见到你,2022,China,8.1,1878,6.9,26061,35248672,https://mydramalist.com/79717-i-see-you-again
Bright Eyes in the Dark,他从火光中走来,2023,China,7.8,1446,7.0,33352,35332288,https://mydramalist.com/61731-he-walks-from-the-fire
Introduction of the Princess,倾世皇妃,2011,China,7.3,791,5.7,33819,5384549,https://mydramalist.com/2877-introduction-of-the-princess
The Legend of Dugu,独孤天下,2018,China,7.9,1265,6.1,25124,24732881,https://mydramalist.com/21475-the-legend-of-dogu
Only Side by Side with You,南方有乔木,2018,China,7.6,2221,5.3,33444,26765222,https://mydramalist.com/23592-only-side-by-side-with-you
To Fly With You,陪你逐风飞翔,2021,China,8.5,5261,5.8,28726,35203355,https://mydramalist.com/70237-accompany-you-to-fly-by-the-wind
A Girl Like Me,我就是这般女子,2021,China,8.1,4741,5.5,35062,34863325,https://mydramalist.com/51973-wo-jiu-shi-zhe-ban-nu-zi
The Forbidden Flower,夏花,2023,China,8.3,2654,6.8,37105,35740400,https://mydramalist.com/718817-xia-hua
Legend of the Dragon Pearl: The Indistinguishable Road,龙珠传奇之无间道,2017,China,7.7,667,4.7,25769,26755568,https://mydramalist.com/19928-legend-of-the-dragon-pearl-the-indistinguishable-road
Divine Destiny,尘缘,2023,China,7.7,638,5.0,29976,26697695,https://mydramalist.com/73313-chen-yuan
Have a Crush on You,听说你喜欢我,2023,China,7.5,2087,5.9,25475,26916333,https://mydramalist.com/69971-have-a-crush-on-you
Love Scenery,良辰美景好时光,2021,China,8.4,12982,5.7,36798,34908096,https://mydramalist.com/52895-love-scenery
Summer's Desire,泡沫之夏,2018,China,7.4,746,5.9,37085,3670446,https://mydramalist.com/24240-summers-desire
The Rational Life,理智派生活,2021,China,8.2,5933,7.0,27121,35196776,https://mydramalist.com/68431-wu-fa-lian-ai-de-li-zhi-pai
Road Home,归路,2023,China,8.2,4555,5.7,35268,35465021,https://mydramalist.com/700295-gui-lu
The Best of You in My Mind,全世界最好的你,2020,China,8.1,5372,6.3,29962,30483665,https://mydramalist.com/35325-the-best-of-you-in-my-mind
Let's Meet Now,见面吧就现在,2022,China,8.0,951,7.5,39740,35390178,https://mydramalist.com/694981-let-s-meet-now
Weaving a Tale of Love,风起霓裳,2021,China,7.5,1050,4.0,28000,26990355,https://mydramalist.com/51573-da-tang-ming-yue
The Romance of Hua Rong,一夜新娘,2019,China,7.9,4307,5.7,30522,27616436,https://mydramalist.com/49959-one-night-bride
Produce 101 China,创造101,2018,China,7.9,1037,5.9,64570,30157162,https://mydramalist.com/28446-produce-101-china
Love Is Panacea,治愈系恋人,2023,China,7.7,1525,5.8,24334,35970329,https://mydramalist.com/735985-love-is-panacea
The Way We Were,归去来,2018,China,7.5,544,5.3,21075,26811528,https://mydramalist.com/23684-the-way-we-were
Produce Camp 2021,创造营2021,2021,China,8.5,1201,5.9,44298,35165368,https://mydramalist.com/65737-chuang-2021
Street Dance of China Season 3,这！就是街舞 第三季,2020,China,8.7,1342,8.2,86970,34979018,https://mydramalist.com/60593-street-dance-of-china-season-3
Joshi-teki Seikatsu,女子的生活,2018,Japan,7.6,951,8.2,24603,27192250,https://mydramalist.com/26209-life-as-a-girl
Street Dance of China Season 4,这！就是街舞 第四季,2021,China,8.5,868,7.6,45449,35251082,https://mydramalist.com/80159-street-dance-of-china-season-4
You Are My Destiny,你是我的命中注定,2020,China,7.9,12449,5.2,24077,30360410,https://mydramalist.com/31762-you-are-my-destiny
Beautiful Time With You,时光与你都很甜,2020,China,7.9,736,6.0,22243,33428664,https://mydramalist.com/39399-beautiful-time-with-you
Unforgettable Love,贺先生的恋恋不忘,2021,China,8.4,19790,5.6,20759,35161175,https://mydramalist.com/66371-unforgettable-love
Once We Get Married,只是结婚的关系,2021,China,8.2,11609,5.5,23235,34991527,https://mydramalist.com/61923-once-we-get-married
Sweet Teeth,世界微尘里,2021,China,8.4,9887,4.9,21183,35161589,https://mydramalist.com/63959-sweet-teeth
My Lethal Man,对我而言危险的他,2023,China,8.1,5479,6.4,24361,35679709,https://mydramalist.com/713373-she-who-is-dangerous-to-me
You Complete Me,小风暴之时间的玫瑰,2020,China,7.5,2407,5.6,23975,34880044,https://mydramalist.com/55061-rose-in-the-storm
Legally Romance,才不要和老板谈恋爱,2022,China,8.5,5174,6.0,20207,35390874,https://mydramalist.com/692791-cai-bu-yao-he-lao-ban-tan-lian-ai
Midsummer Is Full of Love,仲夏满天心,2020,China,7.6,4663,6.3,23702,6710009,https://mydramalist.com/49949-midsummer-is-full-of-hearts
Perfect and Casual,完美先生和差不多小姐,2020,China,8.3,18147,6.3,23955,34868295,https://mydramalist.com/54889-mr-perfect-and-miss-almost
Scarlet Heart Season 2,步步惊情,2014,China,6.9,1129,4.5,21122,10561869,https://mydramalist.com/4537-scarlet-heart-2
Be Yourself,机智的上半场,2021,China,8.2,2011,6.7,21450,35132326,https://mydramalist.com/65847-ji-zhi-de-shang-ban-chang
The Legend of the Condor Heroes,射雕英雄传,2008,China,8.1,1173,7.7,49511,3142715,https://mydramalist.com/2529-legend-of-the-condor-heroes-2008
Return of the Condor Heroes,神雕侠侣,2006,China,8.0,1301,5.2,33586,21356399,https://mydramalist.com/402-return-of-the-condor-heroes-2006
Gentlemen of East 8th,东八区的先生们,2022,China,7.8,456,2.1,216155,35160920,https://mydramalist.com/62339-gentlemen-attention-please
The K2,더 케이투,2016,South Korea,8.2,51408,6.9,31415,26827945.0,https://mydramalist.com/19048-the-k2
What's Wrong with Secretary Kim,김비서가 왜 그럴까,2018,South Korea,8.5,101457,8.0,220636,30181455.0,https://mydramalist.com/27885-why-secretary-kim
A Business Proposal,사내 맞선,2022,South Korea,8.7,98963,7.9,116921.0,35400242.0,https://mydramalist.com/693591-in-house-confrontation
Squid Game,오징어 게임,2021,South Korea,8.4,95051,7.7,503864.0,34812928.0,https://mydramalist.com/40257-round-six
The Knockout,狂飙,2023,China,8.2,361,8.5,918484.0,35465232.0,https://mydramalist.com/700427-punch-out
My Love from the Star,별에서 온 그대,2013,South Korea,8.5,80193,8.5,389683.0,25698722.0,https://mydramalist.com/7398-you-who-came-from-the-stars
Hospital Playlist Season 2,슬기로운 의사생활++,2021,South Korea,9.1,28344,9.5,182875.0,35049544.0,https://mydramalist.com/57173-hospital-playlist-2
Eulachacha Waikiki,으라차차 와이키키,2018,South Korea,8.6,32019,8.6,57448.0,27603684.0,https://mydramalist.com/26644-eulachacha-waikiki
The Penthouse Season 3: War in Life,펜트하우스 Ⅲ,2021,South Korea,8.1,13916,6.8,48107.0,35306372.0,https://mydramalist.com/681515-the-penthouse-season-3
Navillera,나빌레라,2021,South Korea,8.9,17659,9.3,21319.0,35033657.0,https://mydramalist.com/59381-navillera
The Legend of the Blue Sea,푸른 바다의 전설,2016,South Korea,8.3,63760,7.7,142065.0,26806061.0,https://mydramalist.com/18816-the-legend-of-the-blue-sea
Fight for My Way,쌈 마이웨이,2017,South Korea,8.5,66151,8.4,133721.0,26972688.0,https://mydramalist.com/22472-fight-for-my-way
Cheese in the Trap,치즈인더트랩,2016,South Korea,7.4,48387,7.2,104679.0,26393509.0,https://mydramalist.com/14457-cheese-in-the-trap
Legend of Concubine Zhen Huan,後宮甄嬛傳,2012,China,8.5,2341,9.4,748432.0,4922787.0,https://mydramalist.com/4474-legend-of-concubine-zhen-huan
Chinese Paladin Season 3,仙剑奇侠传之灵珠神剑,2009,China,8.0,1210,9.0,397269.0,3227335.0,https://mydramalist.com/487-chinese-paladin-3
My ID Is Gangnam Beauty,내 아이디는 강남미인,2018,South Korea,7.8,67218,7.5,104582.0,30232208.0,https://mydramalist.com/29185-my-id-is-gangnam-beauty
